,year,CMIP5.BCC.bcc-csm1-1-m.rcp85.Amon.gn,CMIP5.BCC.bcc-csm1-1.rcp85.Amon.gn,CMIP5.BNU.BNU-ESM.rcp85.Amon.gn,CMIP5.CCCMA.CanESM2.rcp85.Amon.gn,CMIP5.CMCC.CMCC-CESM.rcp85.Amon.gn,CMIP5.CMCC.CMCC-CM.rcp85.Amon.gn,CMIP5.CMCC.CMCC-CMS.rcp85.Amon.gn,CMIP5.CSIRO-BOM.ACCESS1-0.rcp85.Amon.gn,CMIP5.CSIRO-BOM.ACCESS1-3.rcp85.Amon.gn,CMIP5.CSIRO-QCCCE.CSIRO-Mk3-6-0.rcp85.Amon.gn,CMIP5.FIO.FIO-ESM.rcp85.Amon.gn,CMIP5.INM.inmcm4.rcp85.Amon.gn,CMIP5.IPSL.IPSL-CM5A-LR.rcp85.Amon.gn,CMIP5.IPSL.IPSL-CM5A-MR.rcp85.Amon.gn,CMIP5.IPSL.IPSL-CM5B-LR.rcp85.Amon.gn,CMIP5.LASG-CESS.FGOALS-g2.rcp85.Amon.gn,CMIP5.MIROC.MIROC-ESM-CHEM.rcp85.Amon.gn,CMIP5.MIROC.MIROC-ESM.rcp85.Amon.gn,CMIP5.MIROC.MIROC5.rcp85.Amon.gn,CMIP5.MOHC.HadGEM2-CC.rcp85.Amon.gn,CMIP5.MOHC.HadGEM2-ES.rcp85.Amon.gn,CMIP5.MPI-M.MPI-ESM-MR.rcp85.Amon.gn,CMIP5.MRI.MRI-CGCM3.rcp85.Amon.gn,CMIP5.MRI.MRI-ESM1.rcp85.Amon.gn,CMIP5.NASA-GISS.GISS-E2-H-CC.rcp85.Amon.gn,CMIP5.NASA-GISS.GISS-E2-H.rcp85.Amon.gn,CMIP5.NASA-GISS.GISS-E2-R-CC.rcp85.Amon.gn,CMIP5.NASA-GISS.GISS-E2-R.rcp85.Amon.gn,CMIP5.NCAR.CESM1-BGC.rcp85.Amon.gn,CMIP5.NCAR.CESM1-CAM5.rcp85.Amon.gn,CMIP5.NCC.NorESM1-M.rcp85.Amon.gn,CMIP5.NIMR-KMA.HadGEM2-AO.rcp85.Amon.gn,CMIP5.NOAA-GFDL.GFDL-CM3.rcp85.Amon.gn,CMIP5.NOAA-GFDL.GFDL-ESM2G.rcp85.Amon.gn,CMIP5.NOAA-GFDL.GFDL-ESM2M.rcp85.Amon.gn
56,1906,0.16188003925760874,0.16188003925760888,-0.37050513495149745,0.09681203068748438,0.1057910292730548,-0.04975870997008802,-0.049758709970087876,-0.09836905209043256,-0.18812680420109693,0.18127581001609036,0.10642745499530186,-0.026274604134981654,0.12548457464680665,0.14221785635363146,0.1564469618625839,-0.05961045360213361,-0.045334659983328716,-0.04533465998332886,-0.00046521973625986607,0.049737750510634594,0.11160830847404209,0.02806372741587282,-0.04356835765600949,-0.043727153713837175,0.12013363206352971,0.12013363206352963,0.09842199338399782,0.09842199338399767,-0.28903135717895007,-0.3610784128907472,-0.008117628120418718,-0.062463605588246894,-0.1959624027817589,0.0760256790601976,0.23039345735952377
57,1907,0.2672168084970566,0.26721680849705676,-0.19256625728401108,0.14794792081653077,0.0620237711698672,-0.06191063278666845,-0.06191063278666831,-0.004526166837592216,-0.1516203318821161,0.01770681930026896,0.20764805898550157,-0.02290248305116312,0.16427694357898948,0.13758403965740426,0.109817592026951,-0.027200289773570547,-0.07912967637328316,-0.07912967637328332,0.13109679693971632,0.09820749037256826,0.06121633643679081,-0.06355127234682456,-0.030615458041908055,-0.054870721269008015,0.12145501334560249,0.12145501334560242,0.07268254117249191,0.07268254117249177,-0.1523608982642756,-0.35212350814344395,0.07231918364980805,-0.008279861363455376,-0.05341767850509327,0.06711557463572004,0.040258607700340586
58,1908,0.21198272432524648,0.21198272432524665,-0.0002657370142003697,0.0317402609778518,0.06099242949100429,0.03143408683579163,0.031434086835791776,-0.007465742658211427,-0.030703865581218404,-0.18037134447095463,-0.014933835303145626,0.040336296984640065,0.12753140978188715,0.18388484822859338,0.18239148076127645,0.00808797570213382,-0.10345353802931223,-0.10345353802931238,0.14773325771877518,-0.13703864406465996,0.000971719029128959,-0.13924292909933556,0.18042586713111033,0.0054582506346359345,0.13964752819338555,0.13964752819338547,-0.067172011925972,-0.06717201192597215,-0.022387353222890278,-0.12949571757620879,-0.00864394237659131,0.056459850598407746,0.09688080074852778,-0.01819405761045471,0.06375203744971525
59,1909,0.2380017085643716,0.23800170856437175,0.0032496133763619817,-0.07159231074966861,0.05528133278975659,0.1533727519889486,0.15337275198894873,0.10673618080048726,-0.010808273193828303,-0.06331409039944329,0.15270054956424764,0.02005478785860859,0.10903926847103358,0.01216329482307484,0.35924644947976375,0.02285189738449774,-0.15615673207160663,-0.15615673207160677,0.09053575725965946,-0.14206090866485033,-0.14390103998557877,-0.09140819917165406,0.18266502209891608,0.008201480911986914,0.24101623305916275,0.24101623305916267,0.1933425532882033,0.19334255328820316,0.042770159792872166,-0.16349202023955337,-0.11672936123177857,0.01796920537732875,-0.055356618382882194,0.048449539542790375,0.14520954381110396
60,1910,0.22858587982197598,0.22858587982197612,0.0896089124296376,-0.09674690453345991,-0.30333170036615764,0.012691750350341572,0.01269175035034172,0.08006743231079431,0.055074901424710644,0.018190446506287355,0.2367652842471876,-0.09925300930713732,0.06817629765241102,0.12767022526662863,0.44679037945048,-0.06158828598031196,0.08988574009929702,0.08988574009929688,0.0013111615390650755,-0.06607321117687108,-0.05758992510494432,-0.01299470119832454,0.09491247681151027,0.030326475242696938,0.12169051554454506,0.12169051554454498,0.16466473728922817,0.16466473728922804,0.2781533837487506,-0.2147222771596697,0.09069589504927711,-0.07036335797894606,0.024259130770953503,0.08083941389066589,0.19813598545047076
61,1911,0.2679576248211344,0.26795762482113455,-0.022608850138114683,0.14134348346956563,0.1095180829262767,0.05043785808052751,0.05043785808052766,-0.1379260394805748,0.08994464582142132,0.12878143401549025,-0.11632745315899846,-0.0708807166962598,0.21575191894980775,0.1177753980496797,0.32297123155726487,-0.16750212438086554,0.052288674550213354,0.05228867455021321,0.07329544368971685,-0.12374162946010392,-0.08261268450758037,0.003821784930587787,0.02082234932520492,0.06270777987116487,0.1935081880603131,0.19350818806031303,0.13610023499660828,0.13610023499660814,0.24763946651441082,-0.19763527534686787,0.013533802783482596,0.004836462720719951,0.18054927742109883,0.24036815447605256,0.3056655277835726
62,1912,0.33402684398856586,0.334026843988566,-0.0935743749808154,0.3455015302961671,0.2622464702719994,0.12324108223960144,0.12324108223960158,-0.019624627919075783,0.03716288336171932,0.2244620451196996,0.027923555793799126,-0.06326499895031053,0.10213081401915436,0.07911930913426286,0.21547221056311025,-0.008200449384035116,0.07507456925835869,0.07507456925835854,0.11419351749310251,-0.1791981248919353,-0.24584065344611364,0.07027834305897684,0.034127780293118325,-0.036599305459750986,0.14727230607810501,0.14727230607810493,0.16624317078570452,0.16624317078570439,-0.08513816136791141,-0.27965985735665216,0.014106000863205903,-0.057681763707428724,-0.14914083010067158,0.18663971936118504,0.06311979052981372
63,1913,0.19453505335161303,0.19453505335161317,0.013234679116742587,0.2265398823401068,-0.2765957858887017,0.04975470641013587,0.04975470641013602,-0.1377847319349137,-0.06830589547064592,0.14312938010023993,0.17272889855024087,0.05261686804833824,0.08165979279216325,0.08085150351705472,0.117744015856084,0.05056803035195804,0.029388398621602512,0.029388398621602363,-0.010481528136167206,-0.34463673151451263,-0.055574952291138256,0.06316895021186397,0.06918091117145715,0.029327901740566653,0.1348381650598204,0.13483816505982035,0.14665155202900756,0.1466515520290074,-0.2312235144753018,-0.19701542244620776,-0.010766537584001737,-0.18495244170433764,-0.24320274456396773,-0.0976470289330313,-0.024825561660972533
64,1914,0.2049955759192065,0.20499557591920667,0.187928698633677,-0.0030801510027712955,-0.35103714928343727,-0.10744911547387948,-0.10744911547387932,0.0008946636920661444,0.08984107105391377,0.05902457489814713,-0.06324566921742429,-0.03123853973687929,0.1334284370175963,0.12187781497366916,0.21325477355735134,-0.06168281167806881,0.020444089125240723,0.020444089125240577,-0.08205961768890695,-0.18822470879869982,0.07465977721721151,0.17289377410002635,0.1206046050441922,-0.050917835264642476,0.26636112740535794,0.2663611274053579,0.11432580289143764,0.1143258028914375,0.009860803585597452,-0.05049531026805117,0.15887758115976439,-0.12995242529398632,-0.20758663643056172,-0.023239798528764788,0.15996186641396834
65,1915,0.24410144383752966,0.24410144383752982,0.1768273709648279,0.10699469495675484,0.09555105785865252,-0.09843876118502763,-0.09843876118502748,0.0756933219838541,0.060010939700132715,0.3063389740421876,0.004288063911416081,-0.05557169814806547,0.15970839883559695,0.18249737431830879,0.1699905849546599,0.03776871226464044,-0.04966060009901089,-0.04966060009901104,0.044289934377200225,-0.1599183748391607,0.031078693347453317,0.08799672183449421,0.11098391151316349,-0.03524500114292169,0.19073771031540523,0.19073771031540518,0.09425229116951472,0.09425229116951457,0.09504679471332289,-0.046667458249680695,0.25924441533558956,-0.006975887939800159,0.006424887769403975,0.3031849230560212,0.2227782927663289
